sample_hex,left_pipeline,right_pipeline,rating,left_score,right_score
91ceeee5,2-baseline,4-map-only,right_better,0,1
91ceeee5,6-full-sonnet,1-original,left_better,1,0
91ceeee5,5-full,1-original,left_better,1,0
91ceeee5,1-original,2-baseline,right_better,0,1
91ceeee5,4-map-only,5-full,similar,0,0
75bf89ff,5-full,3-engine-only,left_slightly,1,0
75bf89ff,1-original,5-full,right_better,0,1
75bf89ff,3-engine-only,2-baseline,right_better,0,1
75bf89ff,2-baseline,5-full,left_better,1,0
75bf89ff,5-full,4-map-only,similar,0,0
75bf89ff,6-full-sonnet,5-full,similar,0,0
75bf89ff,1-original,2-baseline,right_better,0,1
75bf89ff,1-original,6-full-sonnet,right_better,0,1
75bf89ff,4-map-only,2-baseline,right_better,0,1
09d42ea7,2-baseline,1-original,left_better,1,0
09d42ea7,2-baseline,3-engine-only,similar,0,0
09d42ea7,5-full,1-original,left_better,1,0
09d42ea7,5-full,3-engine-only,similar,0,0
09d42ea7,6-full-sonnet,1-original,left_better,1,0
09d42ea7,2-baseline,4-map-only,right_better,0,1
09d42ea7,5-full,6-full-sonnet,right_better,0,1
09d42ea7,2-baseline,5-full,similar,0,0
09d42ea7,5-full,4-map-only,right_better,0,1
